id,luas_rumah,jumlah_kamar,usia_rumah,jarak_pusat_kota,kondisi_renovasi,harga,luas_per_kamar,kondisi_renovasi_encoded
1,80.0,2,20.0,15.0,tidak,250000,40.0,0
2,90.0,2,18.0,14.0,tidak,270000,45.0,0
3,100.0,3,15.0,12.0,ya,320000,33.333333333333336,1
4,110.0,3,12.0,11.0,ya,340000,36.666666666666664,1
5,120.0,3,10.0,10.0,ya,360000,40.0,1
6,130.0,4,9.0,9.0,ya,400000,32.5,1
7,140.0,4,8.0,8.0,ya,430000,35.0,1
8,150.0,4,7.0,7.0,ya,460000,37.5,1
9,160.0,5,6.0,6.0,ya,500000,32.0,1
10,170.0,5,5.0,5.0,ya,530000,34.0,1
11,180.0,5,4.0,4.0,ya,560000,36.0,1
12,190.0,6,3.0,3.0,ya,600000,31.666666666666668,1
13,200.0,6,2.0,2.0,ya,640000,33.333333333333336,1
14,210.0,6,2.0,2.0,ya,670000,35.0,1
15,220.0,7,1.0,1.0,ya,710000,31.428571428571427,1
16,230.0,7,1.0,1.0,ya,740000,32.857142857142854,1
17,240.0,7,1.0,1.0,ya,780000,34.285714285714285,1
18,250.0,8,1.0,1.0,ya,820000,31.25,1
19,260.0,8,0.0,0.0,ya,900000,32.5,1
20,185.0,9,0.0,0.0,ya,950000,20.555555555555557,1
21,280.0,9,3.5,0.0,ya,980000,31.11111111111111,1
22,290.0,9,0.0,3.5,ya,1000000,32.22222222222222,1
23,300.0,10,0.0,0.0,tidak,1200000,30.0,0
